site,Name,MeanLat,MeanLong,MeanElev
EDI,Edinburgh,55.977,-3.41407,54
RSY,Rosyth,56.02237,-3.41313,37
FOF,Fordell Firs,56.05684,-3.38232,86
BAD,Blairadam,56.12171,-3.44513,170
LVN,Loch Leven,56.1746,-3.35522,122
DOW,Dowhill,56.162535,-3.423004,153
GLF,Glenfarg,56.30158,-3.35896,100
SER,Strathearn,56.35109,-3.39653,10
MCH,Moncrieffe Hill,56.35749,-3.37509,48
PTH,Perth,56.42266,-3.47488,24
STY,Stanley,56.47694,-3.47467,51
BIR,Birnam,56.53707,-3.53395,87
DUN,Dunkeld,56.57103,-3.61625,112
BLG,Ballinluig,56.64949,-3.66322,79
PIT,Pitlochry,56.681,-3.681,162
KCK,Killiecrankie I,56.73079,-3.77466,117
KCZ,Killiecrankie II,56.73073,-3.77201,155
BLA,Blair Atholl,56.76043,-3.84963,175
CAL,Calvine,56.77057,-3.97249,194
DNM,Dalnamein,56.79876,-4.0343,248
DNC,Dalnacardoch,56.81636,-4.13492,363
DNS,Dalnaspidal,56.83151,-4.22209,433
DLW,Dalwhinnie,56.9207,-4.23827,377
CRU,Crubenmore,56.99202,-4.18062,298
NEW,Newtonmore,57.05359,-4.13176,236
HWP,Highland Wildlife Park,57.109388,-3.9651,244
INS,Insh,57.07229,-3.99928,248
FSH,Feshiebridge,57.11714,-3.90049,242
RTH,Rothiemurchus,57.14681,-3.85322,228
AVI,Aviemore,57.18645,-3.83902,209
AVN,Avielochan,57.21044,-3.82474,217
CAR,Carrbridge,57.28932,-3.79367,252
SLS,Slochd Summit,57.2966,-3.92198,375
TOM,Tomatin,57.32509,-3.98256,315
DAV,Daviot,57.41388,-4.14597,152
ART,Artafallie,57.508397,-4.30645,60
MUN,Munlochy,57.5528,-4.2801,54
FOU,Foulis Estate,57.6398,-4.35295,17
ALN,Alness,57.69372,-4.2943,35
DEL,Delny Muir,57.72381,-4.12605,18
TAI,Tain Pottery,57.79614,-4.04274,23
SPD,Spinningdale,57.87125,-4.2625,71
OSP,Ospisdale Farm,57.8776,-4.173897,37
DOR,Dornoch,57.8853,-4.07755,28